#,Name,NameYear,Season,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,Tks,Ass,MT,St,TA,Rec,% Ct,Yds,Avg,YAC,LG,TD,In,PD,NFL Rating
103.0, Anthony Madison, Anthony Madison2008,2008.0,PIT,CB,14.0,0.0,-0.2,0.2,0.0,0.0,0-0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,100.0,10.0,5.0,8.0,8.0,0.0,0.0,0.0,87.5
110.0, R.W. McQuarters, R.W. McQuarters2008,2008.0,NYG,CB,12.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
110.0, Marcus Hamilton, Marcus Hamilton2008,2008.0,TB,CB,18.0,-0.1,0.0,-0.2,0.0,0.1,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,50.0,49.0,24.5,22.0,25.0,0.0,0.0,2.0,94.8
110.0, Dominique Barber, Dominique Barber2008,2008.0,HST,CB,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0, Matt Ware, Matt Ware2008,2008.0,ARZ,CB,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0, Anthony Henry, Anthony Henry2008,2008.0,DAL,CB,913.0,-0.2,0.4,-2.5,-1.1,3.0,36557.0,2.0,0.0,1.0,39.0,5.0,8.0,11.0,72.0,48.0,66.7,580.0,12.1,186.0,42.0,5.0,1.0,5.0,108.6
114.0, Kareem Moore, Kareem Moore2008,2008.0,WAS,CB,24.0,-0.2,-0.3,-0.1,0.0,0.2,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,50.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,56.3
116.0, Antwaun Molden, Antwaun Molden2008,2008.0,HST,CB,8.0,-0.3,0.0,-0.3,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0, Dante Wesley, Dante Wesley2008,2008.0,CAR,CB,14.0,-0.3,0.0,-0.3,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,91.7
116.0, Phillip Buchanon, Phillip Buchanon2008,2008.0,TB,CB,962.0,-0.3,1.2,-5.0,0.1,3.4,36526.0,0.0,0.0,2.0,49.0,3.0,5.0,7.0,81.0,51.0,63.0,605.0,11.9,153.0,56.0,2.0,2.0,3.0,83.6
119.0, Dustin Fox, Dustin Fox2008,2008.0,BUF,CB,7.0,-0.4,0.0,-0.4,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,100.0,22.0,11.0,7.0,15.0,0.0,0.0,0.0,112.5
120.0, Drew Coleman, Drew Coleman2008,2008.0,NYJ,CB,190.0,-0.5,-0.5,0.5,-0.3,-0.2,36526.0,1.0,0.0,1.0,14.0,1.0,3.0,7.0,24.0,14.0,58.3,183.0,13.1,95.0,22.0,2.0,0.0,6.0,110.2
120.0, Alan Ball, Alan Ball2008,2008.0,DAL,CB,45.0,-0.5,0.0,0.4,0.0,-0.9,36526.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,3.0,60.0,17.0,5.7,7.0,7.0,0.0,0.0,0.0,66.3
120.0, Will Blackmon, Will Blackmon2008,2008.0,GB,CB,257.0,-0.5,-0.4,-1.0,0.8,0.1,36526.0,0.0,0.0,0.0,17.0,0.0,2.0,6.0,26.0,15.0,57.7,189.0,12.6,71.0,31.0,2.0,0.0,0.0,106.1
120.0, Patrick Lee, Patrick Lee2008,2008.0,GB,CB,26.0,-0.5,0.0,0.4,0.0,-0.9,36526.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,66.7,29.0,14.5,7.0,19.0,0.0,0.0,1.0,97.9
120.0, Chris Carr, Chris Carr2008,2008.0,TEN,CB,234.0,-0.5,0.0,3.2,-1.6,-2.1,36586.0,0.0,0.0,0.0,19.0,1.0,3.0,2.0,32.0,17.0,53.1,137.0,8.1,55.0,19.0,1.0,1.0,5.0,61.6
125.0, Tyron Brackenridge, Tyron Brackenridge2008,2008.0,KC,CB,28.0,-0.6,-0.1,-0.6,0.0,0.1,0-0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,5.0,100.0,53.0,10.6,19.0,23.0,0.0,0.0,0.0,110.8
125.0, Charles Tillman, Charles Tillman2008,2008.0,CHI,CB,980.0,-0.6,1.2,-1.3,0.7,-1.2,36647.0,0.0,1.0,1.0,77.0,9.0,4.0,17.0,124.0,84.0,67.7,937.0,11.2,286.0,99.0,5.0,3.0,11.0,93.4
127.0, David Barrett, David Barrett2008,2008.0,NYJ,CB,133.0,-0.8,0.1,-1.0,0.5,-0.4,36526.0,0.0,0.0,1.0,7.0,1.0,0.0,4.0,12.0,6.0,50.0,104.0,17.3,69.0,43.0,0.0,0.0,0.0,79.9
127.0, Jason Allen, Jason Allen2008,2008.0,MIA,CB,217.0,-0.8,0.0,-1.6,0.2,0.6,41275.0,0.0,0.0,0.0,19.0,0.0,1.0,2.0,33.0,20.0,60.6,272.0,13.6,60.0,28.0,2.0,1.0,3.0,94.5
127.0, Jason David, Jason David2008,2008.0,NO,CB,468.0,-0.8,-0.1,1.2,-1.6,-0.3,41334.0,0.0,0.0,0.0,15.0,1.0,5.0,1.0,53.0,24.0,45.3,402.0,16.8,69.0,54.0,2.0,5.0,4.0,44.7
127.0, Terrell Thomas, Terrell Thomas2008,2008.0,NYG,CB,365.0,-0.8,0.6,-1.6,-1.6,1.8,0-0,0.0,3.0,1.0,26.0,3.0,4.0,8.0,34.0,21.0,61.8,262.0,12.5,114.0,54.0,2.0,1.0,2.0,93.0
131.0, Kevin Hobbs, Kevin Hobbs2008,2008.0,SEA,CB,14.0,-0.9,-0.1,-0.3,-0.5,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,12.0,12.0,7.0,12.0,0.0,0.0,0.0,116.7
131.0, Ramzee Robinson, Ramzee Robinson2008,2008.0,DET,CB,135.0,-0.9,-0.1,-0.7,0.3,-0.4,36526.0,0.0,0.0,2.0,12.0,1.0,1.0,4.0,14.0,12.0,85.7,141.0,11.8,50.0,39.0,1.0,0.0,1.0,132.4
131.0, Ahmad Carroll, Ahmad Carroll2008,2008.0,NYJ,CB,5.0,-0.9,0.0,-0.9,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6
