#,Name,NameYear,Year,Team,Position,Snaps,Overall,Rush,Cov.,Run,Pen.,# of Pen,QB Sk,QB Ht,QB Hu,BP,Tks,Ass,MT,St
52.0,Matt Toeaina,Matt Toeaina2008,2008,CHI,DT,2.0,1.0,1.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53.0,Amon Gordon,Amon Gordon2008,2008,TEN,DT,60.0,0.7,-0.7,0.0,1.1,0.3,0-0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0
53.0,Chauncey Davis,Chauncey Davis2008,2008,ATL,DT,85.0,0.7,2.5,0.0,-2.1,0.3,0-0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0
53.0,Louis Leonard,Louis Leonard2008,2008,CLV,DT,14.0,0.7,-0.2,0.0,0.8,0.1,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,Andre Fluellen,Andre Fluellen2008,2008,DET,DT,35.0,0.6,0.2,0.0,0.2,0.2,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57.0,Ryan Boschetti,Ryan Boschetti2008,2008,WAS,DT,21.0,0.5,-0.3,0.0,0.8,0.0,0-0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
58.0,Landon Cohen,Landon Cohen2008,2008,DET,DT,43.0,0.4,0.1,0.0,0.1,0.2,0-0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0
59.0,Corey Mace,Corey Mace2008,2008,BUF,DT,9.0,0.2,0.3,0.0,-0.1,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
59.0,Erasmus James,Erasmus James2008,2008,WAS,DT,8.0,0.2,0.7,0.0,-0.5,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61.0,Victor Abiamiri,Victor Abiamiri2008,2008,PHI,DT,21.0,0.1,0.1,0.0,-0.1,0.1,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61.0,Justin Harrell,Justin Harrell2008,2008,GB,DT,126.0,0.1,-1.1,0.5,0.2,0.5,0-0,0.0,0.0,3.0,0.0,7.0,3.0,1.0,5.0
63.0,Kirk Chambers,Kirk Chambers2008,2008,BUF,DT,1.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,Derek Lokey,Derek Lokey2008,2008,KC,DT,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,Shaun Smith,Shaun Smith2008,2008,CLV,DT,33.0,0.0,0.2,0.0,-0.3,0.1,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
63.0,Alan Branch,Alan Branch2008,2008,ARZ,DT,106.0,0.0,2.0,-0.5,-1.9,0.4,0-0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,3.0
63.0,Kenneth Pettway,Kenneth Pettway2008,2008,GB,DT,2.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,Langston Moore,Langston Moore2008,2008,DET,DT,234.0,0.0,6.5,0.5,-5.9,-1.1,36557.0,1.0,3.0,8.0,0.0,8.0,2.0,0.0,5.0
63.0,Jimmy Kennedy,Jimmy Kennedy2008,2008,MIN,DT,39.0,0.0,1.2,0.0,-1.4,0.2,0-0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
63.0,Johnny Jolly,Johnny Jolly2008,2008,GB,DT,714.0,0.0,-3.6,-1.0,2.7,1.9,36526.0,1.0,3.0,8.0,2.0,37.0,10.0,3.0,30.0
63.0,Barry Cofield,Barry Cofield2008,2008,NYG,DT,560.0,0.0,1.7,1.0,-2.7,0.0,36557.0,3.0,4.0,7.0,1.0,29.0,6.0,2.0,26.0
72.0,Greg Peterson,Greg Peterson2008,2008,TB,DT,9.0,-0.1,0.0,0.0,-0.1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,Montavious Stanley,Montavious Stanley2008,2008,NO,DT,3.0,-0.1,-0.1,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,Lamar Divens,Lamar Divens2008,2008,BLT,DT,9.0,-0.2,-0.1,0.0,-0.1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,Paul Soliai,Paul Soliai2008,2008,MIA,DT,101.0,-0.3,0.1,0.5,-1.0,0.1,0-0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0
75.0,Alfred Malone,Alfred Malone2008,2008,GB,DT,46.0,-0.3,-0.9,0.0,0.4,0.2,0-0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
77.0,Letroy Guion,Letroy Guion2008,2008,MIN,DT,11.0,-0.4,-0.4,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,Jonathan Fanene,Jonathan Fanene2008,2008,CIN,DT,39.0,-0.5,1.5,0.0,-2.2,0.2,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
79.0,Jay Alford,Jay Alford2008,2008,NYG,DT,383.0,-0.6,6.4,0.5,-6.6,-0.9,41334.0,3.0,1.0,11.0,1.0,7.0,4.0,1.0,8.0
80.0,Nick Hayden,Nick Hayden2008,2008,CAR,DT,44.0,-0.7,0.9,0.0,-1.8,0.2,0-0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
80.0,Jason Shirley,Jason Shirley2008,2008,CIN,DT,29.0,-0.7,-0.5,0.0,0.7,-0.9,36526.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
80.0,Ryan Pickett,Ryan Pickett2008,2008,GB,DT,615.0,-0.7,-3.0,-1.0,2.8,0.5,41306.0,2.0,2.0,6.0,3.0,25.0,12.0,1.0,22.0
