#,Name,NameYear,Year,Team,Position,Snaps,Overall,Pass,Run,Blocking,Penalty,# of Pen,Att.,Yds,Avg.,YCo,YCo / Att.,LG,TD,MT,Fu
89,Donald Brown,Donald Brown2009,2009,IND,HB,242,-3.1,1.7,-5.2,1.4,-1,Jan-00,78,281,3.6,189,2.4,45,3,12,1
91,Mike Goodson,Mike Goodson2009,2009,CAR,HB,48,-3.3,0.3,-3.2,-0.4,0,0-0,22,49,2.2,56,2.5,11,0,3,1
91,Willie Parker,Willie Parker2009,2009,PIT,HB,207,-3.3,0.9,-4.5,0.3,0,0-0,98,389,4,242,2.5,34,0,7,1
93,BenJarvus Green-Ellis,BenJarvus Green-Ellis2009,2009,NE,HB,130,-3.5,-3.7,-2.1,2.3,0,0-0,26,114,4.4,53,2,29,0,0,0
94,Ricky Williams,Ricky Williams2009,2009,MIA,HB,688,-3.6,-7.6,-0.2,3.6,0.6,0-0,241,1121,4.7,647,2.7,68,11,15,4
95,Frank Gore,Frank Gore2009,2009,SF,HB,741,-4,2.3,-6.1,-1.3,1.1,0-0,229,1120,4.9,616,2.7,80,10,21,3
95,Kenneth Darby,Kenneth Darby2009,2009,SL,HB,145,-4,-2.7,0.1,-0.4,-1,Jan-00,26,101,3.9,58,2.2,13,0,1,0
95,Knowshon Moreno,Knowshon Moreno2009,2009,DEN,HB,610,-4,-4.5,-0.2,1.9,-1.2,2-Feb,247,947,3.8,603,2.4,36,7,23,2
95,Clinton Portis,Clinton Portis2009,2009,WAS,HB,273,-4,-0.1,-4.4,1.5,-1,Jan-00,124,502,4,357,2.9,78,1,6,1
99,Darren McFadden,Darren McFadden2009,2009,OAK,HB,340,-4.2,2.9,-8.6,1.5,0,0-0,104,363,3.5,249,2.4,28,1,10,4
99,Dantrell Savage,Dantrell Savage2009,2009,KC,HB,43,-4.2,-1,-2.4,0.2,-1,Jan-00,10,45,4.5,22,2.2,11,0,1,0
101,Correll Buckhalter,Correll Buckhalter2009,2009,DEN,HB,414,-4.3,-0.6,0.9,-3.7,-0.9,1-Jan,120,642,5.4,314,2.6,45,1,9,3
102,Cadillac Williams,Cadillac Williams2009,2009,TB,HB,610,-4.5,0.5,-2.1,-2.2,-0.7,2-Feb,209,816,3.9,503,2.4,35,4,17,1
103,Ryan Grant,Ryan Grant2009,2009,GB,HB,643,-4.6,-4.2,-0.7,0.1,0.2,0-0,282,1253,4.4,774,2.7,62,11,29,0
104,Marshawn Lynch,Marshawn Lynch2009,2009,BUF,HB,370,-4.7,-1.5,-4.8,3.6,-2,Feb-00,120,450,3.8,339,2.8,47,2,22,2
105,Lamont Jordan,Lamont Jordan2009,2009,DEN,HB,58,-5,-0.8,-3.2,-1,0,0-0,25,86,3.4,50,2,13,0,1,0
106,Maurice Morris,Maurice Morris2009,2009,DET,HB,349,-5.1,-1.9,-2.4,-0.1,-0.7,Jan-00,93,384,4.1,243,2.6,64,2,6,1
106,Shonn Greene,Shonn Greene2009,2009,NYJ,HB,172,-5.1,-1.6,-4.1,0.6,0,0-0,108,542,5,346,3.2,33,2,12,3
108,Chester Taylor,Chester Taylor2009,2009,MIN,HB,385,-5.3,2.2,-8.5,1,0,0-0,93,332,3.6,203,2.2,25,1,2,2
109,Cedric Benson,Cedric Benson2009,2009,CIN,HB,597,-5.4,-3.2,-1.4,-0.3,-0.5,Jan-00,301,1254,4.2,774,2.6,42,6,22,1
110,Marion Barber III,Marion Barber III2009,2009,DAL,HB,552,-5.7,-1.6,-2.4,-1.8,0.1,0-0,214,932,4.4,596,2.8,35,7,20,1
111,Steven Jackson,Steven Jackson2009,2009,SL,HB,858,-6.5,-0.4,-3.3,-2,-0.8,2-Feb,324,1422,4.4,954,2.9,62,4,40,2
112,LenDale White,LenDale White2009,2009,TEN,HB,137,-6.7,-1.1,-5.9,0.3,0,0-0,64,222,3.5,133,2.1,11,2,6,1
113,Chris Brown,Chris Brown2009,2009,HST,HB,275,-6.9,-2.6,-2.7,-1.6,0,0-0,79,267,3.4,207,2.6,13,3,8,1
114,Rashard Mendenhall,Rashard Mendenhall2009,2009,PIT,HB,559,-7.1,-1.1,-2.1,-3,-0.9,Jan-00,242,1108,4.6,717,3,60,7,29,3
