Row,Name,NameYear,Team,Year,Snaps,Overall Grade,Pass Grade,Run Grade,Blocking Grade,Penalty Grade,Routes Run,Targets,Receptions,Catch%,Yards,Yards/Route,Yards / Reception,Yards After Catch,Yards After Catch / Reception,Long,Touchdowns,Interceptions,Dropped Passes,Missed Tackles Forced,Fumbles,WR Rating,Deep Targets,Deep Receptions,Deep Drops,Deep Yards,Deep Catchable,Deep TDs,Deep Target %,Deep Drop Rate,Deep Catch Rate,Slot Routes,Slot %,Slot Targets,Slot Target %,Slot Receptions,Slot Drops,Slot Yards,Slot YPRR,Slot TDs,Slot Drop Rate,Slot Catch Rate
903, Ernest Wilford, Ernest Wilford2008,MIA,2008,94,-1,-0.4,0,0.3,-0.9,44,6,3,50,25,0.57,8.3,13,4.3,15,0,0,0,0,0,61.1,1,0,0,0,0,0,16.7,0,0,12,27.3,0,0,0,0,0,0,0,0,0
904, Adam Jennings, Adam Jennings2008,ATL,2008,5,-1.1,-1.1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,39.6,0,0,0,0,0,0,0,0,0,4,100,1,25,0,1,0,0,0,100,0
905, Torry Holt, Torry Holt2008,SL,2008,860,-1.1,1.5,-0.2,-0.1,-2.3,490,115,64,55.7,796,1.62,12.4,169,2.6,45,3,4,6,2,0,71.5,16,4,0,147,4,2,13.9,0,25,54,11,14,25.9,7,2,102,1.89,1,22.22,50
906, Jordy Nelson, Jordy Nelson2008,GB,2008,527,-1.2,-1.8,0,0,0.6,333,53,33,62.3,366,1.1,11.1,94,2.8,29,3,2,3,4,0,87.5,7,1,0,29,1,2,13.5,0,14.3,52,15.6,8,15.4,7,0,69,1.33,0,0,87.5
907, Jeff Webb, Jeff Webb2008,KC,2008,111,-1.3,-1.6,0,0,0.3,88,13,5,38.5,46,0.52,9.2,5,1,15,0,0,0,0,0,48.9,1,0,0,0,0,0,7.7,0,0,11,12.5,2,18.2,0,0,0,0,0,0,0
908, Mike Sims-Walker, Mike Sims-Walker2008,JAX,2008,258,-1.3,-2.3,0,0.2,0.8,148,29,16,55.2,217,1.47,13.6,27,1.7,32,0,3,4,0,0,39.7,6,2,0,55,2,0,20.7,0,33.3,33,22.3,5,15.2,3,1,28,0.85,0,25,60
909, Chris Chambers, Chris Chambers2008,SD,2008,672,-1.4,-0.1,-0.2,0.3,-1.4,406,57,33,57.9,462,1.14,14,89,2.7,48,5,3,1,1,0,91.4,11,4,0,136,4,4,19.3,0,36.4,149,36.7,19,12.8,10,0,114,0.77,1,0,52.6
910, Mario Manningham, Mario Manningham2008,NYG,2008,33,-1.4,-0.7,-0.2,-0.5,0,20,5,4,80,26,1.3,6.5,22,5.5,11,0,0,1,1,0,88.3,0,0,0,0,0,0,0,0,0,1,5,1,100,0,1,0,0,0,100,0
911, Dallas Baker, Dallas Baker2008,PIT,2008,22,-1.6,-1.6,0,0,0,17,2,1,50,6,0.35,6,2,2,6,0,0,1,0,0,56.3,0,0,0,0,0,0,0,0,0,16,94.1,2,12.5,1,1,6,0.38,0,50,50
912, Joey Galloway, Joey Galloway2008,TB,2008,205,-1.6,-3,0,0.8,0.6,140,25,13,52,138,0.99,10.6,45,3.5,22,0,0,1,1,0,68.4,6,1,0,22,1,0,24,0,16.7,61,43.6,12,19.7,6,0,55,0.9,0,0,50
